Tanggal,Judul,Pengarang,Abstrak
11/05/2023,Penerapan Teknologi GRAPHQL Pada Fronted Generator Untuk Software Product Line Engineering,Tengku Izdihar Rahman Amanullah,"Nama : Tengku Izdihar Rahman Amanullah Program Studi : Sistem Informasi Judul : Penerapan Teknologi GraphQL pada Frontend Generator untuk Software Product Line Engineering Kegiatan pembuatan aplikasi yang memiliki kemiripan fitur seharusnya tidak melalui aktivitas yang selalu diulang setiap kali sedang membuat aplikasi baru. Penggunaan Software Product Line Engineering (SPLE) memungkinkan programmer untuk menghasilkan berbagai variasi aplikasi secara otomatis. SPLE perlu memfasilitasi hal ini sehingga aplikasi yang dihasilkan secara otomatis dapat berfungsi dengan baik. Salah satu variasi yang dapat dipilih adalah arsitektur pemanggilan API yang dapat dipenuhi dengan menggunakan GraphQL. GraphQL adalah query language yang fleksibel dan eksplisit terhadap data yang diminta kepada server. Tantangan untuk menerapkan GraphQL ke dalam SPLE adalah mengelola persamaan dan variasi dari fitur-fitur yang dipilih oleh pengguna. Pengelolaan tersebut dibantu dengan memanfaatkan Interaction Flow Modelling Language (IFML) yang digunakan untuk mengatur logis dari User Interface dan metode pelaksaan business logic aplikasi. Penelitian ini akan mengembangkan frontend generator yang memanfaatkan SPLE sehingga dapat menghasilkan request GraphQL secara otomatis. Implementasi dilakukan dengan cara menambahkan aturan di notasi IFML sehingga business logic dari Aplikasi dapat memanggil backend GraphQL. Penelitian ini berhasil mengimplementasikan GraphQL yang telah menggunakan prinsip SPLE dan dibuat berdasarkan desain IFML. Kata kunci: GraphQL, Interaction Flow Modelling Language, Software Product Line Engineering, Frontend Generator"
11/06/1998,Prototipe alat bantu pemilihan view pada data warehouse berdasarkan algoritma greedy/ Teguh Raharjo,"Raharjo, Teguh","Kebutuhan pengaksesan informasi dari aplikasi sistem penunjang keputusan biasanya melibatkan jumlah data yang besar. Basisdata pada sistem penunjang keputusan diimplementasikan dengan menggunakan data warehouse. Data warehouse mengelola sumber daya informasi yang bersifat historis untuk keperluan analisis sehingga membutuhkan ruang data yang besar. Pada umumnya, pengaksesan informasi dari suatu aplikasi pada data warehouse memerlukan waktuu tunggu (respon time) yang besar. Ada beberapa cara yang dapat dilakukan untuk mempercepat pengaksesan informasi (optimasi query), diantaranya adalam pemilihan teknologi sistem manajemen basisdata yang dipergunakan dan perancangan basisdata itu sendiri, seperti melakukan proses denormalisai, melakukan proses agregasi serta pembuatan view. Pada tugas akhir ini yang akan dibahas adalah optimiasi query melalui pembuatan view. Proses pembuatan view pada data warehouse memilki beberapa masalah. Untuk mencapai uunjuk kerja yang maksimal, maka sema view dibentuk secara fisik, akan tetapi jika data terlalu besar hal tersebut akan memboroskan sumber daya penyimpanan (storage). Jika tidak ada view yang dibentuk secara fisik menjadi real table, maka pengaksesan query menjadi lambat untuk jumlah data yang besar. Cara yang paling efektif adalah dengan memilih sebagaian dari view-view yang akan dibentuk secara fisik dengan pertimbangan tertentu sehingga hal ini akan mengoptimalkan pemakaian sumber daya penyimpanan dan mempercepat waktu akses query. Tugas ini akan membahas masalah pemilihan view dan pengimplementasian prototipe alat bantu pemilihan view yang akan dibentuk secara fisik pada data ..."
11/07/2005,Analisa masalah model bisnis B2B serta perancangan prototipe sistem B2B/ Sandy Poerwadie H.,"Poerwadie H, Sandy",TIDAK ADA ABSTRAK
11/07/2014,Analisis perbandingan user experience untuk memberikan rekomendasi pada aplikasi kolaborasi online: studi kasus aplikasi manajemen proyek trello dan asana,Firlia Sandyta,"Untuk meningkatkan efektivitas dan efisiensi aplikasi, diperlukan user experience yang baik. Salah satu cara untuk mengetahui user experience aplikasi adalah dengan metode usability testing. Penelitian ini bertujuan untuk mengetahui apakah aspek kolaborasi yang dimiliki oleh aplikasi kolaborasi online sesuai dengan kebutuhan pengguna dan teori yang digunakan, serta untuk mengetahui user experience saat menggunakan aplikasi. Studi kasus penelitian ini adalah aplikasi manajemen proyek Trello dan Asana. Data penelitian diperoleh melalui kuesioner dan observasi kepada 30 responden. Penelitian ini menggunakan statistik paired samples t-test untuk melihat signifikansi rata-rata kedua aplikasi. Dalam penelitian ini juga dihasilkan rekomendasi responden terkait fitur kolaborasi online."
11/07/2014,Analisis pengaruh e-wom dan pencarian informasi terhadap perceived value dan kepercayaan pelanggan dalam mempengaruhi keinginan untuk melakukan transaksi online group buying,Mutia Ovirza,"Saat ini teknologi informasi telah berkembang sangat pesat, termasuk perkembangan internet. Internet tidak hanya digunakan sebagai sumber informasi, tapi juga dijadikan sebagai sarana pembangun koneksi antar individu hingga menjadi lahan bisnis. Salah satu bisnis yang sedang menjadi tren baru di pasaran Indonesia adalah online group buying. Namun, pelanggan masih ragu-ragu dan takut untuk melakukan transaksi online group buying sehingga memiliki banyak pertimbangan dalam mengambil keputusan apakah akan melakukan transaksi online group buying atau tidak, menentukan situs mana yang lebih baik, produk apa yang akan dibeli dan sebagainya. Penelitian ini dilakukan bertujuan untuk menganalisis hal-hal yang mempengaruhi keinginan pelanggan untuk melakukan online group buying. Hal-hal yang dianalisis tersebut direpresentasikan ke dalam beberapa variabel dalam model penelitian, antara lain electronic word of mouth, information searching, vendor trust, product trust, monetary value, hedonic value, utilitarian value dan intention to online group buying. Model penelitian dianalisis menggunakan pendekatan partial least square terhadap 196 responden yang pernah melakukan transaksi online group buying dengan bantuan aplikasi SmartPLS 20 M3. Penelitian ini menyimpulkan bahwa electronic word of mouth (eWOM) mempunyai pengaruh yang signifikan terhadap pencarian informasi dan kepercayaan, pencarian informasi mempunyai pengaruh yang signifikan terhadap kepercayaan terhadap produk, namun tidak berpengaruh signifikan terhadap kepercayaan pada vendor serta tidak semua jenis kepercayaan dan persepsi pelanggan mempunyai pengaruh yang signifikan terhadap keinginan melakukan online group buying."
11/07/2014,Analisis faktor-faktor kualitas teknis dan fungsional layanan mobile internet yang mempengaruhi kepuasan dan dampaknya terhadap kesetiaan pengguna,Aldyra Dhien Swavira,"Penelitian ini bertujuan untuk menganalisis faktor-faktor kualitas teknis dan fungsional layanan mobile internet yang mempengaruhi kepuasan, dan menganalisis dampaknya terhadap kesetiaan pengguna. Pengumpulan data dilakukan melalui pengisian kuesioner online, dan data berhasil dikumpulkan dari 311 responden yang merupakan pengguna mobile internet di Indonesia. Analisis data kemudian dilakukan dengan menggunakan teknik Partial Least Squares (PLS). Hasil penelitian menunjukkan bahwa terdapat faktor-faktor kualitas teknis dan kualitas fungsional yang terbukti mempengaruhi kepuasan pengguna layanan mobile internet. Faktor kualitas teknis meliputi connection, price, dan innovation, sedangkan faktor kualitas fungsional meliputi official website dan interaction. Adapun faktor billing system dan physical environment terbukti tidak mempengaruhi kepuasan pengguna. Dari semua faktor tersebut, diketahui bahwa price memiliki pengaruh paling kuat terhadap kepuasan. Kepuasan kemudian akan mempengaruhi trust dan intimacy, dan pada akhirnya trust, intimacy, dan satisfaction terbukti mempengaruhi loyalty."
11/07/2014,Protokol pertukaran kunci diffie-hellman tripartite yang memanfaatkan weil pairing dan implementasinya dengan menggunakan bahasa pemrograman python,Anang Ferdi Kusuma,"Sejak diperkenalkan pada tahun 1976, protokol pertukaran kunci Diffie-Hellman telah banyak digunakan untuk mengakomodasi proses pertukaran kunci rahasia bersama antara dua pihak. Masalah yang kemudian muncul adalah bagaimana membuat sebuah protokol yang dapat digunakan oleh tiga pihak untuk membuat kunci rahasia bersama di antara mereka dalam satu ronde komunikasi. Solusi dari permasalahan ini diberikan oleh Antoine Joux pada tahun 2000 dengan memanfaatkan bilinear pairing pada kurva eliptik. Protokol yang dibuat selanjutnya dikenal sebagai protokol pertukaran kunci Diffie-Hellman tripartite. Tugas Akhir ini bermaksud mempelajari dan memberikan penjelasan konsep-konsep terkait kurva eliptik dan Weil pairing yang menjadi landasan dalam protokol pertukaran kunci Diffie-Hellman tripartite. Tugas Akhir ini juga melakukan implementasi aplikasi berbasis protokol pertukaran kunci Diffie-Hellman tripartite dengan menggunakan bahasa pemrograman Python. Percobaan kemudian dilakukan pada komputer dengan spesifikasi : Intel R CoreTM i5-2410M CPU @ 2.30 GHz x 4, RAM 4 GB di atas sistem operasi Linux Ubuntu 12.04. Hasil analisis menunjukkan bahwa aplikasi yang dihasilkan berjalan dengan benar sesuai dengan yang diharapkan."
11/07/2014,Rancangan dan implementasi jam tersinkronisasi menggunakan protokol ZIGBEE diatas launchpad embedded system,Nisrina Rahmah,"Ketepatan waktu merupakan faktor penting dalam menunjang keberhasilan individu. Persepsi individu terhadap waktu ditentukan oleh jam yang terletak di lingkungan. Sering kali, jam-jam yang terletak di lingkungan, terutama di Indonesia, tidak menunjukkan waktu yang sama. Oleh karena itu, diperlukan sebuah solusi yang dapat membuat jam pada lingkungan publik menunjukkan waktu yang sama. Hal tersebut dapat diatasi dengan melakukan sinkronisasi. Dalam penelitian ini, akan dibahas implementasi jam yang tersinkronisasi menggunakan teknologi yang hemat energi, yaitu protokol ZigBee di atas LaunchPad embedded system dengan modul radio buatan Anaren. Protokol sinkronisasi yang digunakan ialah pull protocol. Implementasi tersebut berhasil dilakukan pada penelitian ini."
11/08/2005,Studi Evaluasi Kinerja FILE Transfer di Atas Protokol TCP dengan menggunakan WINSOCK 2.2./ Herman Hartono,Herman Hartono,"ABSTRAK Protokol TCP/IP merupakan protokol komunikasi yang paling banyak digunakan saat ini. Pada sistem operasi Microsoft Windows, protokol TCP/IP ini diakses dengan menggunakan Windows Sockets (WinSock). WinSock Merupakan antarmuka komunikasi yang dapat digunakan oleh aplikasi untuk mengakses protokol TCP. Kinerja merupakan salah satu faktor penting yang harus diperhatikan dalam pengembangan dan perancangan aplikasi komputer dan jaringan komputer. Evaluasi kinerja diperlukan untuk mendapatkan gambaran karakteristik kinerja dalam pengimplementasian suatu protokol komunikasi. Dalam Tugas Akhir ini dilakukan evaluasi kinerja untuk aplikasi yang menggunakan protokol TCP/IP melalui antarmuka WinSock. Untuk melakukan evaluasi kinerja digunakan suatu program client-server yang melakukan pertukaran pesan. Simulasi komuikasi antara program client dan server dilakukan dalam lingkup Jaringan UI Terpadu (JUITA), yang dapat menghubungkan Kampus UI Depok dengan Kampus UI Salemba. Kinerja yang dievaluasi ditinjau dari aspek response time dalam penyampaian pesan. Parameter yang dievaluasi mencakup pengaruh jumlah koneksi, ukuran pesan, dan ukuran file terhadap kinerja. Dari hasil simulasi dapat diketahui bahwa jumlah koneksi dan ukuran pesan memberikan pengaruh yang signifikan terhadap kinerja aplikasi WinSock. Dengan mengetahui pengaruh yang berikan oleh parameter-parameter ini terhadap kinerja aplikasi, maka efek negatif yang ditimbulkan dapat dicegah atau diminimalkan."
11/08/2005,Penerapan Konsep Mekanika Kolaborasi dalam Pengembangan Prototipe Shared Workspace /Windiantoro,Windiantoro,"ABSTRAK: Tujuan utama penelitian ini adalah menerapkan konsep mekanika kolaborasi pada pembuatan prototipe shared workspace. Shared workspace adalah sebuah aplikasi dimana sebuah kumpulan pengguna dapat memiliki akses ke sebuah kelompok informasi yang sama, fungsi-fungsi yang sama, dan dapat mengerjakan transaksi-transaksi secara interaktif. Karena kualitas interaksi yang dapat didukung oleh sebuah shared workspace menentukan efektifitas dari shared workspace tersebut, maka prototipe shared workspace dibuat berdasarkan konsep mekanika kolaborasi. Konsep mekanika kolaborasi adalah konsep yang menerangkan bahwa kolaborasi yang terjadi dalam kehidupan sehari-hari dalam sebuah grup dapat diklasifikasikan menjadi satuan-satuan terkecil yang dinamakan mekanika kolaborasi. Penerapan mekanika kolaborasi pada prototipe shared workspace tersebut dilakukan dengan cara memilih fitur-fitur yang dianggap dapat memenuhinya untuk diimplementasikan menjadi sebuah aplikasi shared workspace. Implementasi dilakukan dengan menggunakan bahasa pemrograman Java dan pengujian dilakukan dengan membuat sebuah skenario penggunaan. Skenario tersebut digunakan untuk mengukur sejauh mana prototipe shared workspace tersebut dilakukan dengan cara memilih fitur-fitur yang dianggap dapat memenuhinya untuk diimplementasikan menjadi sebuah aplikasi shared workspace. Implementasi dilakukan dengan menggunakan bahasa pemrograman Java dan pengujian dilakukan dengan membuat sebuah skenario penggunaan. Skenario tersebut digunakan untuk mengukur sejauh mana prototipe shared workspace yang dibuat dapat memenuhi aspek dari mekanika kolaborasi. Dari pengujian tersebut didapatkan bahwa prototipe shared workspace yang dibuat dapat memenuhi seluruh mekanika kolaborasi yang diujikan . Selain itu, beberapa aspek dari mekanika kolaborasi yang diujikan. Selain itu, beberapa aspek dari mekanika kolaborasi dapat dipenuhi dengan mengubah bentuk komunikasi menjadi bentuk yang dapat direpresentasikan oleh prototipe ini."
11/08/2009,Verifikasi sistem pengendali lalu lintas kereta api dengan model checker NUSMV/ Annisa Ihsani,Annisa Ihsani,"Penelitian ini bertujuan untuk melakukan verifikasi pada sistem pengendali lalu lintas kereta api dengan menerapkan metode formal, khususnya model checking. Model checker yang digunakan adalah NuSMV. Penelitian dilakukan sesuai dengan tahapan-tahapan pada model checking, yaitu pemodelan rancangan sistem, spesifikasi syarat keamanan sistem dalam bahasa formal logika temporal, serta verifikasi apakah model yang dibuat telah memenuhi spesifikasi. Selain itu, dilakukan pula analisis unjuk kerja sistem berdasarkan alokasi waktu dan space terhadap parameter tertentu. Hasil penelitian menunjukkan bahwa model checking merupakan metode yang cukup mudah diterapkan dalam melakukan verifikasi pada sistem kritikal, namun membutuhkan sumber daya yang relatif besar untuk verifikasi sistem yang kompleks. Kata kunci: metode formal, model checking, NuSMV, kereta api, logika temporal, verifikasi."
11/08/2009,Pengembangan sistem ekstraksi informasi untuk dokumen legal indonesia dengan studi kasus dokumen peraturan pemerintah republik indonesia/ Mulyandra Pratama,Mulyandra Pratama,"Sistem Ekstraksi Informasi yang sebelumnya telah dibuat menggunakan aturan untuk dapat melakukan standarisasi dokumen Undang-Undang ke dalam format XML. Karena aturan yang digunakan bersatu dengan sistem itu sendiri, maka sistem menjadi kurang adaptif. Oleh karena itu, modularisasi aturan yang dilakukan pada penelitian ini diharapkan mampu membuat sistem menjadi lebih adaptif. Adaptivitas sistem akan diuji dengan melakukan adaptasi ke jenis dokumen legal yang lain, yaitu Peraturan Pemerintah (PP). Hasil adaptasi SEI ke dokumen PP diujicobakan pada 201 dokumen PP dan 41 dokumen PP perubahan. Hasilnya menunjukkan kinerja sistem dalam melakukan standarisasi dokumen PP ke dalam format XML sebesar 99.47% dan dokumen PP perubahan sebesar 97.98%. Kata kunci: Ekstraksi informasi, knowledge engineering, dokumen berbasis XML, referensi dokumen, graf berarah, undangundang, standardisasi dokumen Halaman: xvi+168 Daftar Referensi: 28 (1993-2008)"
11/08/2016,Pengembangan environment ujian dengan metode audio visual dalam ujian berbasis komputer,Evan Octavius Saputra,"ABSTRAK Nama : Evan Octavius Saputra Program Studi : Ilmu Komputer Judul : Pengembangan Environment Ujian dengan Metode Audio Visual dalam Ujian Berbasis Komputer Dalam pelaksanaan ujian berbasis komputer dapat dipresentasikan dalam 3 format, yaitu teks, audio, dan visual. Di Indonesia sudah dikembangkan dan diterapkan sistem ujian berbasis komputer, namun hingga saat ini belum banyak yang dapat mengakomodir format audio. Penelitian ini dilakukan untuk mengembangkan environment ujian berbasis komputer agar dapat melakukan ujian yang bersifat audio visual. Pengembangan dilakukan pada sistem yang pernah dibuat sebelumnya dengan melakukan penyesuaian pada sisi server dan client. Pada sisi client dilakukan penginstallan media player dan konfigurasi sound device. Pada sisi server dilakukan perubahan kernel untuk boot image client. Selain itu akan dilakukan pengujian untuk memilih aplikasi media player untuk memenuhi kebutuhan ujian audio visual dengan menambahkan sisi stream server. Pengujian dilakukan dengan melakukan memonitoring konsumsi bandwidth pada stream server, pemakaian memory dan CPU pada komputer client. Diharapkan dengan adanya pengembangan ini dapat diterapkan ujian audio visual pada ujian berbasis komputer. Kata Kunci: Audio Visual, aplikasi, ujian berbasis komputer, boot server, Raspberry Pi"
11/08/2022,Evaluasi Usability Dan Rekomendasi Desain Antarmuka Alternatif Aplikasi Single Sign-On U.ID Pandi Menggunakan Pendekatan User-Centered Design,Brian Athallah Yudiva,"Universitas Indonesiax ABSTRAK Nama : Brian Athallah Yudiva, Rabialco Argana Program Studi : Ilmu Komputer Judul : Evaluasi Usability dan Rekomendasi Desain Antarmuka Alternatif Aplikasi Single Sign-On u.id PANDI Menggunakan Pendekatan User-Centered Design Pembimbing : Harry Budi Santoso, S.Kom., M.Kom., Ph.D. Sudah banyak aplikasi yang menggunakan sistem akun Single Sign-On (SSO) sebagai opsi registrasi akun. Pengelola Nama Domain Internet Indonesia (PANDI), selaku pengurus registri (.id) Indonesia, membuat sistem akun SSO yang dinamakan u.id. Aplikasi u.id adalah sistem SSO yang menggunakan Nomor Induk Kependudukan sebagai validalitas pengguna dan memastikan akun yang dibuat unik. Namun, aplikasi u.id menurut stakeholders PANDI memiliki tingkat kegunaan yang kurang. Oleh karena itu, perlu dilakukan evaluasi usability dan perumusan solusi dari hasil evaluasi tersebut. Penelitian ini bertujuan untuk mengidentifikasi pengalaman pengguna dalam menggunakan aplikasi u.id, serta memberikan solusi desain antarmuka alternatif menggunakan metode User-Centered Design. Batasan penelitian ini adalah masyarakat Indonesia yang mempunyai koneksi internet dan memiliki Kartu Tanda Penduduk. Evaluasi dilakukan dengan menggunakan metode mixed-methods, yaitu menggabungkan analisis data kuantitatif dengan data kualitatif. Data kuantitatif diperoleh dengan menggunakan kuesioner System Usability Scale (SUS) yang didistribusikan secara daring, sedangkan data kualitatif diperoleh dengan menggunakan wawacara kontekstual. Hasil dari evaluasi tersebut diperoleh tiga persona dan menunjukkan bahwa usability aplikasi u.id kurang baik. Pemetaan kebutuhan perbaikan dilakukan terhadap Shneidermans Eight Golden Rules of Interface Design. Rancangan desain alternatif dibuat berdasarkan solusi dari kebutuhan perbaikan yang kemudian dievaluasi kembali menggunakan usability testing, SUS, dan Single Ease Question (SEQ). Hasil evaluasi desain alternatif memberikan penilaian baik dari perhitungan success rate usability testing, SUS, dan SEQ. Kata Kunci: Usability, User-Centered Design, Single Sign-On"
11/08/2022,Analisis Faktor Yang Memengaruhi Niat Penggunaan E-WALLET Secara Berkelanjutan Pada Aplikasi Mobile Commerce,Akhmad Diponegoro Widodo,"ABSTRAK Nama : Akhmad Diponegoro Widodo, Jacob Marulitua Ido Situmorang, Muhammad Akbar Rafsanjhani Program Studi : Ilmu Komputer dan Sistem Informasi Judul : Analisis Faktor Yang Memengaruhi Niat Penggunaan E-Wallet Secara Berkelanjutan Pada Aplikasi Mobile Commerce Pembimbing : Fatimah Azzahro, S. Kom., M.Kom., M.Sc. Cepatnya perkembangan teknologi mendorong masyarakat untuk dapat beradaptasi dengan perubahan, salah satunya dalam menggunakan e-wallet sebagai metode pembayaran digital. Populernya penggunaan e-wallet didorong dari berbagai faktor, seperti manfaat dan risiko yang dirasakan oleh pengguna. Terdapat beberapa aplikasi e- wallet yang tersedia dengan manfaat, risiko, serta kepuasan yang berbeda-beda. Hal tersebut memungkinkan pengguna untuk beralih dari menggunakan satu e-wallet ke e- wallet lain, atau bahkan terus menggunakan e-wallet yang sama. Oleh karena itu, penelitian ini bertujuan untuk menganalisis faktor-faktor apa saja yang memengaruhi niat penggunaan berkelanjutan e-wallet saat bertransaksi pada mobile commerce. Penelitian ini menggunakan dua teori, yaitu benefit-risk framework sebagai teori yang merepresentasikan keuntungan dan risiko yang dirasakan oleh pengguna, serta expectancy confirmation theory yang merepresentasikan kepuasan yang dapat memengaruhi niat berkelanjutan pengguna. Penelitian ini dilakukan terhadap 543 responden yang pernah menggunakan e-wallet pada mobile commerce. Data yang diperoleh kemudian dianalisis menggunakan metode covariance-based structural equation model dengan aplikasi AMOS 26. Pada penelitian ini ditemukan adanya pengaruh signifikan dari perceived benefits dan satisfaction terhadap continuance intention. Faktor-faktor yang memengaruhi perceived benefits meliputi perceived ease of use, economic benefits, seamless transaction, dan convenience. Penelitian ini diharapkan dapat memberikan kontribusi bagi penyedia layanan e-wallet untuk mengevaluasi layanan sehingga e-wallet tersebut dapat digunakan secara berkelanjutan oleh pengguna. Kata Kunci: E-Wallet, Mobile Commerce, Expectation Confirmation Theory, Benefit- Risk Framework, Continuance Intention, Covariance Based Structural Equation Modelling."
11/09/2001,Penentuan sudut pandang suatu objek tiga dimensi dengan menggunakan metode nearest feature line/Rina Sripomo,"Sripomo, Rina","Penelitian dan analisa terhadap pengenalan wajah atau pengenalan objek tiga dimensi telah meningkat tajam secara signifikan selama beberapa tahun belakangan ini. Suatu sistem pengenalan objek tiga dimensi yang baik harus mampu mengenali objek dengan berbagai variasi cirinya dalam sudut pandang atau sudut pengamatan, pencahayaan serta ekspresi. Karena sudut pengamatan merupakan salah satu variasi ciri yang diperlukan dalam sistem pengenalan objek tiga dimensi, maka dilakukan pengembangan serta penelitian terhadap sistem penentuan sudut pandang dan objek tiga dimensi, dengan harapan agar komputer juga dapat mengenali ciri sudut pandang atau sudut pengamatan dari suatu obyek tiga dimensi. Sistem penentuan sudut pandang dari obyek tiga dimensi dikembangkan dengan dua tahap, taiyu tahap transformasi data yang menggunakan metode principal component analysis atau karhunen-loeve transformated technique, serta tahap klasifikasi dengan menggunakan metode nearest feature line, yang melakukan generalisasi ciri-ciri sudut pandang. Adapun tahap transformasi data dengan fully principal component analysis (fully PCA) dan partially principal component analysis (partially PCA). Pada penelitian yang dilakukan pada tugas akhir ini, kedua transformasi data digunakan dengan maksud untuk membandingkan keduanya. Beberapa uji coba dilakukan terhadap sistem penentuan sudut pandang ini dengan tujuan untuk mengetahui akurasi pengenalan sistem terhadap sudut pandang suatu objek tiga dimensi. Uji coba yang dilakukan diantaranya uji coba citra acuan, uji coba presentase proporsi kumulatif, serta uji coba transformasi data. Dari semua uji coba yang dilakukan, dapat disimpulkan bahwa pengembangan serta penelitian terhadap sistem penentuan sudut pandang obyek tiga dimensi yang menggunakan metode nearest feature line ini berhasil dengan baik, dengan akurasi pengenalan tertinggi sebesar 93, 75%. Dari hasil penelitian juga diketahui bahwa penambahan jumlah ekpresi dari wajah serta penambahan proporsi kumulatif mempengaruhi akurasi pengenalan sistem. Pengembangan sistem penentuan sudut pandang lebih lanjut diharapkan agar dapat meningkatkan pengenalan sudut pandang dengan varisasi sudut elevasi dan jaraknya."
11/09/2007,Pengembangan sistem manajemen pengawasan jaringan berbasis modul dengan implementasi web service/ Yanto,Yanto,"ABSTRAKSI Topik dari pembuatan tugas akhir ini adalah pengembangan sistem manajemen pengawasan jaringan dengan berbasis web service. Sistem manajemen dalam hal ini berarti bahwa software yang dihasilkan mempunyai sifat mengontrol terhadap software lain. Manajemen yang dimaksud mencakup pembuatan dan pemasangan software pengawas jaringan, sistem alert terhadap kejadian (event) yang terjadi dalam jaringan, dan kemampuan melakukan permintaan menjalankan suatu tugas secara remote oleh client dalam lingkup tugas pengawasan tersebut. Komunikasi dalam jaringan dilakukan menggunakan teknologi web service yang diimplementasi menggunakan bahasa java. Keberadaannya yang masih baru, dan sifatnya yang global dan tidak terikat oleh bahasa pemrograman tertentu adalah latar belakang terhadap penggunaan teknologi web service ini. Hasil pengembangan tugas akhir ini diharapkan dapat mempermudah tugas sistem administrator dalam melakukan pekerjaannya dalam pengawasan jaringan yang dikelolanya."
11/10/1991,Sistem pakar penganalisa keuangan,Bagus Pribadi,"Sistem pakar penganalisa keuangan untuk membantu para kreditor dalam menilai sehat atau tidaknya suatu perusahaan. Menggunakan masukan berupa data-data operasional dan keuangan perusahaan untuk periode tiga tahunan, rasio analisa yang akan digunakan dan aturan-aturan (rules). Menggunakan mesin inferensi forward chaining untuk mengaplikasikan aturan-aturan terhadap data-data keuangan dengan berbasiskan rasio analisa yang digunakan. Pemisahan rasio analisa dari program memberikan kemudahan bagi pemakai dalam menentukan rasio apa yang akan digunakan. Basis pengetahuan yang berorientasikan pada pemakai memudahkan penerapan kebijaksanaan-kebijaksanaan kreditor ke dalam sistem dalam bentuk aturan-aturan. Adanya suatu fasilitas perunut suatu keputusan penalaran memudahkan pemakai untuk memahami alur penalaran yang digunakan sistem dalam membuat suatu keputusan. Fasilitas-fasilitas lainnya yang menunjang keluwesan sistem adalah tersedianya editor-editor, yaitu Ratio Editor, Rule Editor dan Financial Editor. Interaksi antara sistem dengan pemakai dipandu oleh suatu sistem menu yang cukup konsisten sehingga pengoperasian sistem menjadi lebih mudah."
11/10/2001,Penyelesaian masalah vehicle routing and scheduling dlam dunia nyata berdasarkan metode algoritma genetika - simulated annealing/ Emiliana Dewi Aryani,"Aryani, Emiliana Dewi","Berdasarkan konsep vehicle routing. scheduling, and dispatching problem with Single Depot (VRSP/SD) yang telah diajukan oleh Chen (2000), suatu metode untuk memecahkan persoalan penentuan rute dan jadwal kendaraan dari satu depot (vehicle routing and scheduling with single Depot: VRSP/SD) berdasarkan metode algoritma genetika dan simulated annealing diajukan pada penelitian ini. Garis besar metode yang diajukan merupakan prosedur algoritma genetika. Matriks dua dimensi digunakan sebagai representasi jadwal scedule). Setiap kromoson direpresentasikan oleh suatu trip. Operasi crossover dilakukan melalui operasi pemindahan atau operasi pertukaran sekelompok pelanggan (user /customer). Di dalam operasi crossover dilakukan optimasi menggunakan metode simulated annealing. Percobaan dilakukan berdasrkan data nyata milik perusahaan pengiriman makanan harian dari satu depot ke 46 toko di Daerah Saitama, sebuah prefecture di negara Jepang. Perbandingan hasil eksperimen dengan metode sebelmnya yang menggunakan metode simulated annealing menunjukkan bahwa metode yang diajukan menghasilkan jadwal yang lebih baik dan lebih akurat dengan waktu komposisi yang lebih cepat."
